Название кампании	Название группы	Фраза (с минус-словами)	Заголовок	Заголовок 2	Текст	Ссылка	Отображаемая ссылка	Регионы показа	Минус-фразы на группу	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения
SS | Поиск | Онлайн-школа | РФ	Немецкий и испанский онлайн	немецкий онлайн	Немецкий и испанский онлайн	Первый урок бесплатно	Живые уроки по Zoom, записи в кабинете, домашки с проверкой.	https://smartsay.ru/online-school?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	nemeckiy-onlayn	Россия	бесплатно	Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		курсы немецкого онлайн	Онлайн-курсы немецкого языка	Гибкое расписание	Готовим к Goethe-Zertifikat и DELE. Уровни от A1 до C2.	https://smartsay.ru/online-school?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	nemeckiy-onlayn			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		немецкий язык онлайн с преподавателем	Онлайн-курсы испанского языка	Первый урок бесплатно	Абонемент от 6 200 ₽/мес или индивидуально 2 000 ₽ за занятие.	https://smartsay.ru/online-school?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	nemeckiy-onlayn			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		испанский онлайн											
		курсы испанского онлайн											
		испанский язык онлайн с преподавателем											
SS | Поиск | Онлайн-школа | РФ	Онлайн-школа | общий спрос	онлайн школа иностранных языков	Онлайн-школа иностранных языков	Первый урок бесплатно	4 языка, уровни A1–C2, живые уроки по Zoom и записи в кабинете.	https://smartsay.ru/online-school?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	onlayn-shkola	Россия	бесплатно	Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		онлайн курсы иностранных языков	Языки онлайн: английский, китайский, немецкий	Записи уроков в кабинете	Гибкое расписание: утро, день или вечер по вашему часовому поясу.	https://smartsay.ru/online-school?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	onlayn-shkola			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		изучение языков онлайн	Онлайн-курсы языков с преподавателем	Первый урок бесплатно	Абонемент от 6 200 ₽/мес. Первый урок в группе — бесплатно.	https://smartsay.ru/online-school?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	onlayn-shkola			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		онлайн языковая школа											
		языковые курсы онлайн											
		учить язык онлайн с преподавателем
