Название кампании	Название группы	Фраза (с минус-словами)	Заголовок	Заголовок 2	Текст	Ссылка	Отображаемая ссылка	Регионы показа	Минус-фразы на группу	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения
SS | Поиск | Дети и школьники | Петергоф	Второй язык детям | китайский и немецкий	китайский для детей	Китайский и немецкий для детей	Первый урок бесплатно	Иероглифы и тоны в игровой форме — детям это правда заходит.	https://smartsay.ru/courses?category=kids&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	vtoroy-yazyk	Петергоф, Ломоносов, Стрельна, Красное Село, Санкт-Петербург		Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		курсы китайского для детей	Китайский для детей в Петергофе	Группы до 6 человек	Немецкий для школьников: живая речь вместо таблиц. Старт с нуля.	https://smartsay.ru/courses?category=kids&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	vtoroy-yazyk			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		немецкий для детей	Немецкий для детей: игровой формат	Первый урок бесплатно	Петергоф, Чичеринская 2, и онлайн. Первый урок — бесплатно.	https://smartsay.ru/courses?category=kids&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	vtoroy-yazyk			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		курсы немецкого для детей											
		испанский для детей											
		второй иностранный язык для школьника											
		китайский для школьников											
SS | Поиск | Дети и школьники | Петергоф	ОГЭ и ЕГЭ | английский	подготовка к егэ по английскому	Подготовка к ЕГЭ по английскому	Диагностика бесплатно	Разбираем все разделы: аудирование, чтение, письмо, говорение.	https://smartsay.ru/courses?category=kids&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	ege-angliyskiy	Петергоф, Ломоносов, Стрельна, Красное Село, Санкт-Петербург	онлайн бесплатно, варианты, демоверсия, фипи	Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		егэ английский подготовка	ОГЭ и ЕГЭ по английскому в Петергофе	Группы до 6 человек	Стартуем с диагностики: покажем реальный балл и слабые места.	https://smartsay.ru/courses?category=kids&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	ege-angliyskiy			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		курсы подготовки к егэ английский	Английский ЕГЭ: разбор всех разделов	Диагностика бесплатно	Группы до 6 человек. Очно в Петергофе или онлайн. Первый урок — 0 ₽.	https://smartsay.ru/courses?category=kids&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	ege-angliyskiy			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		подготовка к огэ по английскому											
		огэ английский курсы											
		подготовка к егэ по английскому спб											
		репетитор егэ английский											
		подготовка к огэ по английскому петергоф
