Название кампании	Название группы	Фраза (с минус-словами)	Заголовок	Заголовок 2	Текст	Ссылка	Отображаемая ссылка	Регионы показа	Минус-фразы на группу	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения
		английский язык петергоф											
		курсы английского ломоносов											
		английский стрельна											
		курсы английского языка спб											
		курсы английского рядом											
		английский в мини группе											
		групповые занятия английским											
		интенсив английского языка											
		английский язык уровень a1											
		английский язык уровень b1											
SS | Поиск | Взрослые | Петергоф	Китайский | взрослые	курсы китайского языка	Курсы китайского в Петергофе	Первый урок бесплатно	Разберём иероглифы, поставим тоны, доведём до HSK — даже если вы с нуля.	https://smartsay.ru/courses?language=chinese&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	kursy-kitayskogo	Петергоф, Ломоносов, Стрельна, Красное Село, Санкт-Петербург	репетитор	Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		китайский язык курсы	Китайский с нуля до HSK	Готовим к HSK	Абонемент от 6 200 ₽/мес. Очно в Петергофе или онлайн по Zoom.	https://smartsay.ru/courses?language=chinese&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	kursy-kitayskogo			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		школа китайского языка	Китайский язык: тоны и иероглифы с нуля	Первый урок бесплатно	Преподаватели с опытом работы с языком. Первый урок в группе — 0 ₽.	https://smartsay.ru/courses?language=chinese&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	kursy-kitayskogo			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		китайский с нуля											
		курсы китайского спб											
		китайский язык обучение											
		изучение китайского языка											
		китайский для начинающих											
		курсы китайского петергоф											
		китайский язык для взрослых											
		разговорный китайский курсы											
SS | Поиск | Взрослые | Петергоф	Испанский | взрослые	курсы испанского языка	Курсы испанского в Петергофе	Первый урок бесплатно	Третий по популярности язык мира и один из самых простых. Готовим к DELE.	https://smartsay.ru/courses?language=spanish&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	kursy-ispanskogo	Петергоф, Ломоносов, Стрельна, Красное Село, Санкт-Петербург	репетитор	Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		испанский язык курсы	Испанский с нуля — результат за 2 месяца	Готовим к DELE	Абонемент от 6 200 ₽/мес, группы до 6 человек. Очно и онлайн.	https://smartsay.ru/courses?language=spanish&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	kursy-ispanskogo			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		школа испанского языка	Испанский язык: разговорный курс	Первый урок бесплатно	Сериалы без субтитров и песни со смыслом. Первый урок — бесплатно.	https://smartsay.ru/courses?language=spanish&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	kursy-ispanskogo			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		испанский с нуля											
		курсы испанского спб											
		испанский для начинающих											
		испанский язык обучение											
		изучение испанского языка											
		разговорный испанский курсы											
		испанский для путешествий											
SS | Поиск | Взрослые | Петергоф	Немецкий | взрослые	курсы немецкого языка	Курсы немецкого в Петергофе	Первый урок бесплатно	Язык, который ценят работодатели и вузы Европы. Готовим к Goethe-Zertifikat.	https://smartsay.ru/courses?language=german&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	kursy-nemeckogo	Петергоф, Ломоносов, Стрельна, Красное Село, Санкт-Петербург	репетитор	Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		немецкий язык курсы	Немецкий с нуля: логика вместо зубрёжки	Готовим к Goethe	Поймёте логику языка, а не будете заучивать таблицы. Уровни A1–C2.	https://smartsay.ru/courses?language=german&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	kursy-nemeckogo			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		школа немецкого языка	Немецкий язык для работы и учёбы	Первый урок бесплатно	Абонемент от 6 200 ₽/мес. Очно в Петергофе или онлайн. Пробный — 0 ₽.	https://smartsay.ru/courses?language=german&utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	kursy-nemeckogo			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		немецкий с нуля											
		курсы немецкого спб											
		немецкий для начинающих											
		немецкий язык обучение											
		изучение немецкого языка											
		разговорный немецкий курсы											
		немецкий для работы											
SS | Поиск | Взрослые | Петергоф	Языковая школа | общий спрос	языковая школа	Языковая школа в Петергофе	Первый урок бесплатно	4 языка, уровни A1–C2, группы до 6 человек. Первый урок — бесплатно.	https://smartsay.ru/courses?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	yazykovaya-shkola	Петергоф, Ломоносов, Стрельна, Красное Село, Санкт-Петербург	репетитор	Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		языковая школа спб	Курсы иностранных языков рядом с домом	Очно и онлайн	Работаем с 2018 года, лицензия на образовательную деятельность.	https://smartsay.ru/courses?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	yazykovaya-shkola			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		языковая школа петергоф	Английский, китайский, испанский, немецкий	Первый урок бесплатно	Петергоф, Чичеринская 2 — 5 минут от станции Новый Петергоф.	https://smartsay.ru/courses?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	yazykovaya-shkola			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		курсы иностранных языков											
		школа иностранных языков											
		курсы иностранных языков спб											
		курсы иностранных языков петергоф											
		языковые курсы											
		языковой центр											
		изучение иностранных языков											
		языковые курсы рядом											
SS | Поиск | Взрослые | Петергоф	Индивидуально и репетитор	репетитор английского языка	Индивидуальные занятия языком в Петергофе	100% внимания педагога	Индивидуальная программа под ваш уровень, цели и темп. 2 000 ₽ за занятие.	https://smartsay.ru/courses?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	individualno	Петергоф, Ломоносов, Стрельна, Красное Село, Санкт-Петербург		Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		репетитор английского петергоф	Репетитор английского в Петергофе	Гибкое расписание	Занимайтесь утром, днём или вечером — подстроим расписание под вас.	https://smartsay.ru/courses?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	individualno			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		репетитор по английскому	One-2-one занятия — 2 000 ₽ за урок	100% внимания педагога	Педагоги с профильным образованием. Очно в Петергофе или онлайн.	https://smartsay.ru/courses?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_name}&utm_content={ad_id}_{gbid}_{device_type}&utm_term={keyword}&yclid={yclid}	individualno			Бесплатный пробный урок | Цены и абонементы | Языки и уровни | Как нас найти | Английский детям | Дошкольный центр 3–6 лет | Онлайн-школа | Преподаватели	Определим уровень и подберём программу | Группа от 6 200 ₽/мес, индивидуально — 2 000 ₽ | Английский, китайский, испанский, немецкий: A1–C2 | Петергоф, Чичеринская, 2 — 5 минут от станции | Игровые занятия и подготовка к ОГЭ и ЕГЭ | Языки, творчество и подготовка к школе | Занятия по Zoom из любой точки мира, записи уроков | Педагоги с профильным образованием и носители языка	https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/courses | https://smartsay.ru/contacts | https://smartsay.ru/courses?category=kids | https://smartsay.ru/preschool | https://smartsay.ru/online-school | https://smartsay.ru/teachers	Первый урок бесплатно | Группы до 6 человек | Лицензия на обучение | Очно в Петергофе и онлайн | Работаем с 2018 года | Уровни A1–C2 | Гибкое расписание | Носители языка | Сертификат по итогам | Записи всех уроков
		репетитор немецкого языка											
		репетитор испанского языка											
		репетитор китайского языка											
		индивидуальные занятия английским											
		индивидуальные уроки английского											
		английский индивидуально											
		преподаватель английского индивидуально
